,Nearshore,Offshore,SE_N,SE_O
Week 0,0,0,0,0
Week 1,0.011377274,0.007236199,0.004550559,0.002835055
Week 2,0.017179239,0.011502929,0.006641676,0.003544073
Week 3,0.022862956,0.012803392,0.008087341,0.004611524
Week 4,0.026610868,0.014341901,0.010154206,0.004961092
Week 5,0.033093264,0.013850809,0.011293613,0.00500437
Week 6,0.037374618,0.017525856,0.013323635,0.0052154
Week 7,0.040914138,0.021318775,0.015273753,0.004984497
Week 8,0.050515841,0.024246604,0.015394685,0.005607306
Week 9,0.055652908,0.025706283,0.016233346,0.005966114
Week 10,0.060925438,0.027555377,0.016877261,0.006153596
Week 11,0.065551863,0.030192588,0.018612567,0.006538066
