Origin,Site,ID,Treatment,Lipids
N,N,N1,NN,0.198697068
N,N,N2,NN,0.204620462
N,N,N3,NN,0.195422535
N,N,N4,NN,0.129466901
N,N,N5,NN,0.269744836
N,O,N1,NO,0.182370821
N,O,N2,NO,0.216894977
N,O,N3,NO,0.278154681
N,O,N4,NO,0.274886878
N,O,N5,NO,0.128904032
O,N,C1,ON,0.33
O,N,C2,ON,0.309236948
O,N,C3,ON,0.201646091
O,N,C4,ON,0.228310502
O,N,C5,ON,0.336134454
O,O,C1,OO,0.204738761
O,O,C2,OO,0.17704918
O,O,C3,OO,0.208133971
O,O,C4,OO,0.193069307
O,O,C5,OO,0.170513775
